port_transport_number;port;transport;transport_number;service_name;description
34134_17;34134;udp;17;N/A;N/A
34135_17;34135;udp;17;N/A;N/A
34135_6;34135;tcp;6;N/A;N/A
34136_17;34136;udp;17;N/A;N/A
34136_6;34136;tcp;6;N/A;N/A
34137_17;34137;udp;17;N/A;N/A
34137_6;34137;tcp;6;N/A;N/A
34141_17;34141;udp;17;N/A;N/A
34143_17;34143;udp;17;N/A;N/A
34143_6;34143;tcp;6;N/A;N/A
34144_17;34144;udp;17;N/A;N/A
34144_6;34144;tcp;6;N/A;N/A
34146_17;34146;udp;17;N/A;N/A
34147_17;34147;udp;17;N/A;N/A
34147_6;34147;tcp;6;N/A;N/A
34149_17;34149;udp;17;N/A;N/A
34151_6;34151;tcp;6;N/A;N/A
34154_17;34154;udp;17;N/A;N/A
34154_6;34154;tcp;6;N/A;N/A
34157_17;34157;udp;17;N/A;N/A
34157_6;34157;tcp;6;N/A;N/A
34158_6;34158;tcp;6;N/A;N/A
34160_17;34160;udp;17;N/A;N/A
34161_17;34161;udp;17;N/A;N/A
34162_17;34162;udp;17;N/A;N/A
34162_6;34162;tcp;6;N/A;N/A
34164_17;34164;udp;17;N/A;N/A
34164_6;34164;tcp;6;N/A;N/A
34166_17;34166;udp;17;N/A;N/A
34168_17;34168;udp;17;N/A;N/A
34169_17;34169;udp;17;N/A;N/A
34172_17;34172;udp;17;N/A;N/A
34173_17;34173;udp;17;N/A;N/A
34173_6;34173;tcp;6;N/A;N/A
34174_17;34174;udp;17;N/A;N/A
34174_6;34174;tcp;6;N/A;N/A
34177_17;34177;udp;17;N/A;N/A
34177_6;34177;tcp;6;N/A;N/A
34178_17;34178;udp;17;N/A;N/A
34178_6;34178;tcp;6;N/A;N/A
34179_17;34179;udp;17;N/A;N/A
34180_17;34180;udp;17;N/A;N/A
34180_6;34180;tcp;6;N/A;N/A
34181_17;34181;udp;17;N/A;N/A
34181_6;34181;tcp;6;N/A;N/A
34182_6;34182;tcp;6;N/A;N/A
34184_17;34184;udp;17;N/A;N/A
34184_6;34184;tcp;6;N/A;N/A
34185_17;34185;udp;17;N/A;N/A
34186_17;34186;udp;17;N/A;N/A
34186_6;34186;tcp;6;N/A;N/A
34188_17;34188;udp;17;N/A;N/A
34189_17;34189;udp;17;N/A;N/A
34189_6;34189;tcp;6;N/A;N/A
34190_6;34190;tcp;6;N/A;N/A
34193_17;34193;udp;17;N/A;N/A
34193_6;34193;tcp;6;N/A;N/A
34194_17;34194;udp;17;N/A;N/A
34194_6;34194;tcp;6;N/A;N/A
34196_17;34196;udp;17;N/A;N/A
34198_17;34198;udp;17;N/A;N/A
34201_17;34201;udp;17;N/A;N/A
34201_6;34201;tcp;6;N/A;N/A
34204_17;34204;udp;17;N/A;N/A
34206_17;34206;udp;17;N/A;N/A
34206_6;34206;tcp;6;N/A;N/A
34207_17;34207;udp;17;N/A;N/A
34208_17;34208;udp;17;N/A;N/A
34209_17;34209;udp;17;N/A;N/A
34210_17;34210;udp;17;N/A;N/A
34211_17;34211;udp;17;N/A;N/A
34211_6;34211;tcp;6;N/A;N/A
34214_17;34214;udp;17;N/A;N/A
34214_6;34214;tcp;6;N/A;N/A
34218_17;34218;udp;17;N/A;N/A
34219_17;34219;udp;17;N/A;N/A
34219_6;34219;tcp;6;N/A;N/A
34222_6;34222;tcp;6;N/A;N/A
34223_17;34223;udp;17;N/A;N/A
34223_6;34223;tcp;6;N/A;N/A
34225_17;34225;udp;17;N/A;N/A
34227_17;34227;udp;17;N/A;N/A
34228_6;34228;tcp;6;N/A;N/A
34229_17;34229;udp;17;N/A;N/A
34229_6;34229;tcp;6;N/A;N/A
34230_17;34230;udp;17;N/A;N/A
34233_17;34233;udp;17;N/A;N/A
34234_17;34234;udp;17;N/A;N/A
34234_6;34234;tcp;6;N/A;N/A
34235_17;34235;udp;17;N/A;N/A
34236_17;34236;udp;17;N/A;N/A
34236_6;34236;tcp;6;N/A;N/A
34240_17;34240;udp;17;N/A;N/A
34240_6;34240;tcp;6;N/A;N/A
34241_17;34241;udp;17;N/A;N/A
34242_17;34242;udp;17;N/A;N/A
34243_17;34243;udp;17;N/A;N/A
34243_6;34243;tcp;6;N/A;N/A
34246_17;34246;udp;17;N/A;N/A
34246_6;34246;tcp;6;N/A;N/A
34247_17;34247;udp;17;N/A;N/A
34247_6;34247;tcp;6;N/A;N/A
34250_17;34250;udp;17;N/A;N/A
34254_17;34254;udp;17;N/A;N/A
34256_17;34256;udp;17;N/A;N/A
34257_17;34257;udp;17;N/A;N/A
34260_17;34260;udp;17;N/A;N/A
34260_6;34260;tcp;6;N/A;N/A
34261_17;34261;udp;17;N/A;N/A
34262_17;34262;udp;17;N/A;N/A
34266_17;34266;udp;17;N/A;N/A
34267_17;34267;udp;17;N/A;N/A
34267_6;34267;tcp;6;N/A;N/A
34268_17;34268;udp;17;N/A;N/A
34270_17;34270;udp;17;N/A;N/A
34270_6;34270;tcp;6;N/A;N/A
34271_17;34271;udp;17;N/A;N/A
34273_17;34273;udp;17;N/A;N/A
34273_6;34273;tcp;6;N/A;N/A
34274_17;34274;udp;17;N/A;N/A
34274_6;34274;tcp;6;N/A;N/A
34276_17;34276;udp;17;N/A;N/A
34276_6;34276;tcp;6;N/A;N/A
34279_17;34279;udp;17;N/A;N/A
34280_17;34280;udp;17;N/A;N/A
34280_6;34280;tcp;6;N/A;N/A
34281_17;34281;udp;17;N/A;N/A
34281_6;34281;tcp;6;N/A;N/A
34283_17;34283;udp;17;N/A;N/A
34283_6;34283;tcp;6;N/A;N/A
34284_17;34284;udp;17;N/A;N/A
34284_6;34284;tcp;6;N/A;N/A
34288_17;34288;udp;17;N/A;N/A
34288_6;34288;tcp;6;N/A;N/A
34294_17;34294;udp;17;N/A;N/A
34294_6;34294;tcp;6;N/A;N/A
34297_17;34297;udp;17;N/A;N/A
34297_6;34297;tcp;6;N/A;N/A
34298_17;34298;udp;17;N/A;N/A
34301_17;34301;udp;17;N/A;N/A
34302_17;34302;udp;17;N/A;N/A
34302_6;34302;tcp;6;N/A;N/A
34304_17;34304;udp;17;N/A;N/A
34305_17;34305;udp;17;N/A;N/A
34308_6;34308;tcp;6;N/A;N/A
34310_17;34310;udp;17;N/A;N/A
34310_6;34310;tcp;6;N/A;N/A
34315_17;34315;udp;17;N/A;N/A
34315_6;34315;tcp;6;N/A;N/A
34317_17;34317;udp;17;N/A;N/A
34317_6;34317;tcp;6;N/A;N/A
34318_17;34318;udp;17;N/A;N/A
34321_17;34321;udp;17;N/A;N/A
34321_6;34321;tcp;6;N/A;N/A
34323_17;34323;udp;17;N/A;N/A
34323_6;34323;tcp;6;N/A;N/A
34326_6;34326;tcp;6;N/A;N/A
34328_17;34328;udp;17;N/A;N/A
34328_6;34328;tcp;6;N/A;N/A
34331_17;34331;udp;17;N/A;N/A
34331_6;34331;tcp;6;N/A;N/A
34332_17;34332;udp;17;N/A;N/A
34333_17;34333;udp;17;N/A;N/A
34333_6;34333;tcp;6;N/A;N/A
34336_17;34336;udp;17;N/A;N/A
34336_6;34336;tcp;6;N/A;N/A
34341_17;34341;udp;17;N/A;N/A
34343_17;34343;udp;17;N/A;N/A
34345_17;34345;udp;17;N/A;N/A
34348_6;34348;tcp;6;N/A;N/A
34349_17;34349;udp;17;N/A;N/A
34349_6;34349;tcp;6;N/A;N/A
34353_17;34353;udp;17;N/A;N/A
34355_17;34355;udp;17;N/A;N/A
34355_6;34355;tcp;6;N/A;N/A
34356_17;34356;udp;17;N/A;N/A
34356_6;34356;tcp;6;N/A;N/A
34357_17;34357;udp;17;N/A;N/A
34357_6;34357;tcp;6;N/A;N/A
34360_17;34360;udp;17;N/A;N/A
34360_6;34360;tcp;6;N/A;N/A
34367_17;34367;udp;17;N/A;N/A
34368_17;34368;udp;17;N/A;N/A
34368_6;34368;tcp;6;N/A;N/A
34370_17;34370;udp;17;N/A;N/A
34371_17;34371;udp;17;N/A;N/A
34380_17;34380;udp;17;N/A;N/A
34380_6;34380;tcp;6;N/A;N/A
34381_17;34381;udp;17;N/A;N/A
34383_17;34383;udp;17;N/A;N/A
34384_17;34384;udp;17;N/A;N/A
34387_17;34387;udp;17;N/A;N/A
34388_17;34388;udp;17;N/A;N/A
34390_6;34390;tcp;6;N/A;N/A
34391_6;34391;tcp;6;N/A;N/A
34392_17;34392;udp;17;N/A;N/A
34394_17;34394;udp;17;N/A;N/A
34397_17;34397;udp;17;N/A;N/A
34397_6;34397;tcp;6;N/A;N/A
34401_17;34401;udp;17;N/A;N/A
34402_17;34402;udp;17;N/A;N/A
34402_6;34402;tcp;6;N/A;N/A
34404_17;34404;udp;17;N/A;N/A
34405_17;34405;udp;17;N/A;N/A
34406_17;34406;udp;17;N/A;N/A
34407_17;34407;udp;17;N/A;N/A
34407_6;34407;tcp;6;N/A;N/A
34410_17;34410;udp;17;N/A;N/A
34411_17;34411;udp;17;N/A;N/A
34412_17;34412;udp;17;N/A;N/A
34412_6;34412;tcp;6;N/A;N/A
34413_17;34413;udp;17;N/A;N/A
34414_17;34414;udp;17;N/A;N/A
34415_17;34415;udp;17;N/A;N/A
34417_17;34417;udp;17;N/A;N/A
34417_6;34417;tcp;6;N/A;N/A
34422_17;34422;udp;17;N/A;N/A
34423_17;34423;udp;17;N/A;N/A
34428_17;34428;udp;17;N/A;N/A
34432_17;34432;udp;17;N/A;N/A
34432_6;34432;tcp;6;N/A;N/A
34433_17;34433;udp;17;N/A;N/A
34435_17;34435;udp;17;N/A;N/A
34435_6;34435;tcp;6;N/A;N/A
34437_6;34437;tcp;6;N/A;N/A
34438_17;34438;udp;17;N/A;N/A
34438_6;34438;tcp;6;N/A;N/A
34440_17;34440;udp;17;N/A;N/A
34440_6;34440;tcp;6;N/A;N/A
34444_17;34444;udp;17;N/A;N/A
34448_17;34448;udp;17;N/A;N/A
34448_6;34448;tcp;6;N/A;N/A
34449_17;34449;udp;17;N/A;N/A
34451_17;34451;udp;17;N/A;N/A
34451_6;34451;tcp;6;N/A;N/A
34454_17;34454;udp;17;N/A;N/A
34454_6;34454;tcp;6;N/A;N/A
34455_17;34455;udp;17;N/A;N/A
34456_17;34456;udp;17;N/A;N/A
34456_6;34456;tcp;6;N/A;N/A
34457_6;34457;tcp;6;N/A;N/A
34458_17;34458;udp;17;N/A;N/A
34458_6;34458;tcp;6;N/A;N/A
34463_17;34463;udp;17;N/A;N/A
34463_6;34463;tcp;6;N/A;N/A
34464_17;34464;udp;17;N/A;N/A
34464_6;34464;tcp;6;N/A;N/A
34465_17;34465;udp;17;N/A;N/A
34465_6;34465;tcp;6;N/A;N/A
34467_17;34467;udp;17;N/A;N/A
34467_6;34467;tcp;6;N/A;N/A
34468_17;34468;udp;17;N/A;N/A
34468_6;34468;tcp;6;N/A;N/A
34469_6;34469;tcp;6;N/A;N/A
34475_17;34475;udp;17;N/A;N/A
34475_6;34475;tcp;6;N/A;N/A
34476_17;34476;udp;17;N/A;N/A
34477_17;34477;udp;17;N/A;N/A
34477_6;34477;tcp;6;N/A;N/A
34478_17;34478;udp;17;N/A;N/A
34478_6;34478;tcp;6;N/A;N/A
34479_17;34479;udp;17;N/A;N/A
34483_17;34483;udp;17;N/A;N/A
34483_6;34483;tcp;6;N/A;N/A
34484_17;34484;udp;17;N/A;N/A
34487_6;34487;tcp;6;N/A;N/A
34489_17;34489;udp;17;N/A;N/A
34489_6;34489;tcp;6;N/A;N/A
34490_17;34490;udp;17;N/A;N/A
34490_6;34490;tcp;6;N/A;N/A
34491_17;34491;udp;17;N/A;N/A
34492_17;34492;udp;17;N/A;N/A
34492_6;34492;tcp;6;N/A;N/A
34493_17;34493;udp;17;N/A;N/A
34496_17;34496;udp;17;N/A;N/A
34498_17;34498;udp;17;N/A;N/A
34498_6;34498;tcp;6;N/A;N/A
34500_17;34500;udp;17;N/A;N/A
34502_17;34502;udp;17;N/A;N/A
34502_6;34502;tcp;6;N/A;N/A
34503_17;34503;udp;17;N/A;N/A
34506_6;34506;tcp;6;N/A;N/A
34510_17;34510;udp;17;N/A;N/A
34510_6;34510;tcp;6;N/A;N/A
34511_17;34511;udp;17;N/A;N/A
34511_6;34511;tcp;6;N/A;N/A
34512_17;34512;udp;17;N/A;N/A
34513_17;34513;udp;17;N/A;N/A
34513_6;34513;tcp;6;N/A;N/A
34514_17;34514;udp;17;N/A;N/A
34514_6;34514;tcp;6;N/A;N/A
34517_17;34517;udp;17;N/A;N/A
34519_17;34519;udp;17;N/A;N/A
34519_6;34519;tcp;6;N/A;N/A
34521_6;34521;tcp;6;N/A;N/A
34524_17;34524;udp;17;N/A;N/A
34524_6;34524;tcp;6;N/A;N/A
34525_17;34525;udp;17;N/A;N/A
34525_6;34525;tcp;6;N/A;N/A
34528_17;34528;udp;17;N/A;N/A
34528_6;34528;tcp;6;N/A;N/A
34533_17;34533;udp;17;N/A;N/A
34533_6;34533;tcp;6;N/A;N/A
34534_17;34534;udp;17;N/A;N/A
34536_17;34536;udp;17;N/A;N/A
34536_6;34536;tcp;6;N/A;N/A
34537_17;34537;udp;17;N/A;N/A
34539_17;34539;udp;17;N/A;N/A
34539_6;34539;tcp;6;N/A;N/A
34541_17;34541;udp;17;N/A;N/A
34541_6;34541;tcp;6;N/A;N/A
34542_17;34542;udp;17;N/A;N/A
34545_17;34545;udp;17;N/A;N/A
34545_6;34545;tcp;6;N/A;N/A
34549_17;34549;udp;17;N/A;N/A
34549_6;34549;tcp;6;N/A;N/A
34551_17;34551;udp;17;N/A;N/A
34551_6;34551;tcp;6;N/A;N/A
34553_17;34553;udp;17;N/A;N/A
34553_6;34553;tcp;6;N/A;N/A
34555_17;34555;udp;17;N/A;N/A
34558_17;34558;udp;17;N/A;N/A
34558_6;34558;tcp;6;N/A;N/A
34561_17;34561;udp;17;N/A;N/A
34562_17;34562;udp;17;N/A;N/A
34565_17;34565;udp;17;N/A;N/A
34565_6;34565;tcp;6;N/A;N/A
34569_17;34569;udp;17;N/A;N/A
34570_17;34570;udp;17;N/A;N/A
34570_6;34570;tcp;6;N/A;N/A
34571_6;34571;tcp;6;N/A;N/A
34572_17;34572;udp;17;N/A;N/A
34573_17;34573;udp;17;N/A;N/A
34578_17;34578;udp;17;N/A;N/A
34578_6;34578;tcp;6;N/A;N/A
34579_17;34579;udp;17;N/A;N/A
34579_6;34579;tcp;6;N/A;N/A
34582_17;34582;udp;17;N/A;N/A
34582_6;34582;tcp;6;N/A;N/A
34583_6;34583;tcp;6;N/A;N/A
34585_17;34585;udp;17;N/A;N/A
34585_6;34585;tcp;6;N/A;N/A
34586_17;34586;udp;17;N/A;N/A
34587_17;34587;udp;17;N/A;N/A
34587_6;34587;tcp;6;N/A;N/A
34588_17;34588;udp;17;N/A;N/A
34588_6;34588;tcp;6;N/A;N/A
34589_17;34589;udp;17;N/A;N/A
34590_17;34590;udp;17;N/A;N/A
34591_17;34591;udp;17;N/A;N/A
34591_6;34591;tcp;6;N/A;N/A
34592_17;34592;udp;17;N/A;N/A
34592_6;34592;tcp;6;N/A;N/A
34595_17;34595;udp;17;N/A;N/A
34595_6;34595;tcp;6;N/A;N/A
34596_17;34596;udp;17;N/A;N/A
34596_6;34596;tcp;6;N/A;N/A
34597_17;34597;udp;17;N/A;N/A
34597_6;34597;tcp;6;N/A;N/A
34599_17;34599;udp;17;N/A;N/A
34602_17;34602;udp;17;N/A;N/A
34602_6;34602;tcp;6;N/A;N/A
34603_17;34603;udp;17;N/A;N/A
34603_6;34603;tcp;6;N/A;N/A
34607_17;34607;udp;17;N/A;N/A
34609_6;34609;tcp;6;N/A;N/A
34610_17;34610;udp;17;N/A;N/A
34610_6;34610;tcp;6;N/A;N/A
34611_17;34611;udp;17;N/A;N/A
34612_17;34612;udp;17;N/A;N/A
34612_6;34612;tcp;6;N/A;N/A
34613_6;34613;tcp;6;N/A;N/A
34614_17;34614;udp;17;N/A;N/A
34618_17;34618;udp;17;N/A;N/A
34622_17;34622;udp;17;N/A;N/A
34622_6;34622;tcp;6;N/A;N/A
34624_17;34624;udp;17;N/A;N/A
34626_17;34626;udp;17;N/A;N/A
34626_6;34626;tcp;6;N/A;N/A
34627_17;34627;udp;17;N/A;N/A
34628_17;34628;udp;17;N/A;N/A
34631_17;34631;udp;17;N/A;N/A
34631_6;34631;tcp;6;N/A;N/A
34633_17;34633;udp;17;N/A;N/A
34633_6;34633;tcp;6;N/A;N/A
34634_6;34634;tcp;6;N/A;N/A
34635_17;34635;udp;17;N/A;N/A
34635_6;34635;tcp;6;N/A;N/A
34637_17;34637;udp;17;N/A;N/A
34637_6;34637;tcp;6;N/A;N/A
34640_17;34640;udp;17;N/A;N/A
34642_17;34642;udp;17;N/A;N/A
34643_17;34643;udp;17;N/A;N/A
34643_6;34643;tcp;6;N/A;N/A
34647_17;34647;udp;17;N/A;N/A
34647_6;34647;tcp;6;N/A;N/A
34649_17;34649;udp;17;N/A;N/A
34649_6;34649;tcp;6;N/A;N/A
34650_17;34650;udp;17;N/A;N/A
34650_6;34650;tcp;6;N/A;N/A
34651_6;34651;tcp;6;N/A;N/A
34653_17;34653;udp;17;N/A;N/A
34653_6;34653;tcp;6;N/A;N/A
34654_17;34654;udp;17;N/A;N/A
34655_17;34655;udp;17;N/A;N/A
34656_17;34656;udp;17;N/A;N/A
34656_6;34656;tcp;6;N/A;N/A
34657_17;34657;udp;17;N/A;N/A
34658_17;34658;udp;17;N/A;N/A
34659_17;34659;udp;17;N/A;N/A
34659_6;34659;tcp;6;N/A;N/A
34660_17;34660;udp;17;N/A;N/A
34660_6;34660;tcp;6;N/A;N/A
34661_17;34661;udp;17;N/A;N/A
34663_17;34663;udp;17;N/A;N/A
34664_17;34664;udp;17;N/A;N/A
34664_6;34664;tcp;6;N/A;N/A
34666_17;34666;udp;17;N/A;N/A
34666_6;34666;tcp;6;N/A;N/A
34667_17;34667;udp;17;N/A;N/A
34667_6;34667;tcp;6;N/A;N/A
34669_17;34669;udp;17;N/A;N/A
34669_6;34669;tcp;6;N/A;N/A
34670_17;34670;udp;17;N/A;N/A
34673_17;34673;udp;17;N/A;N/A
34673_6;34673;tcp;6;N/A;N/A
34674_17;34674;udp;17;N/A;N/A
34674_6;34674;tcp;6;N/A;N/A
34675_17;34675;udp;17;N/A;N/A
34675_6;34675;tcp;6;N/A;N/A
34676_17;34676;udp;17;N/A;N/A
34676_6;34676;tcp;6;N/A;N/A
34678_17;34678;udp;17;N/A;N/A
34678_6;34678;tcp;6;N/A;N/A
34679_17;34679;udp;17;N/A;N/A
34680_17;34680;udp;17;N/A;N/A
34680_6;34680;tcp;6;N/A;N/A
34685_17;34685;udp;17;N/A;N/A
34685_6;34685;tcp;6;N/A;N/A
34687_17;34687;udp;17;N/A;N/A
34687_6;34687;tcp;6;N/A;N/A
34688_17;34688;udp;17;N/A;N/A
34690_17;34690;udp;17;N/A;N/A
34691_17;34691;udp;17;N/A;N/A
34691_6;34691;tcp;6;N/A;N/A
34692_17;34692;udp;17;N/A;N/A
34692_6;34692;tcp;6;N/A;N/A
34693_17;34693;udp;17;N/A;N/A
34694_17;34694;udp;17;N/A;N/A
34697_17;34697;udp;17;N/A;N/A
34697_6;34697;tcp;6;N/A;N/A
34698_17;34698;udp;17;N/A;N/A
34698_6;34698;tcp;6;N/A;N/A
34700_17;34700;udp;17;N/A;N/A
34703_17;34703;udp;17;N/A;N/A
34703_6;34703;tcp;6;N/A;N/A
34705_17;34705;udp;17;N/A;N/A
34709_17;34709;udp;17;N/A;N/A
34709_6;34709;tcp;6;N/A;N/A
34712_17;34712;udp;17;N/A;N/A
34718_17;34718;udp;17;N/A;N/A
34718_6;34718;tcp;6;N/A;N/A
34719_17;34719;udp;17;N/A;N/A
34720_17;34720;udp;17;N/A;N/A
34720_6;34720;tcp;6;N/A;N/A
34721_17;34721;udp;17;N/A;N/A
34725_17;34725;udp;17;N/A;N/A
34725_6;34725;tcp;6;N/A;N/A
34728_17;34728;udp;17;N/A;N/A
34728_6;34728;tcp;6;N/A;N/A
34729_17;34729;udp;17;N/A;N/A
34729_6;34729;tcp;6;N/A;N/A
34731_17;34731;udp;17;N/A;N/A
34731_6;34731;tcp;6;N/A;N/A
34732_17;34732;udp;17;N/A;N/A
34733_17;34733;udp;17;N/A;N/A
34735_17;34735;udp;17;N/A;N/A
34735_6;34735;tcp;6;N/A;N/A
34736_17;34736;udp;17;N/A;N/A
34736_6;34736;tcp;6;N/A;N/A
34737_6;34737;tcp;6;N/A;N/A
34741_17;34741;udp;17;N/A;N/A
34741_6;34741;tcp;6;N/A;N/A
34742_17;34742;udp;17;N/A;N/A
34743_17;34743;udp;17;N/A;N/A
34747_17;34747;udp;17;N/A;N/A
34747_6;34747;tcp;6;N/A;N/A
34750_17;34750;udp;17;N/A;N/A
34752_17;34752;udp;17;N/A;N/A
34753_17;34753;udp;17;N/A;N/A
34753_6;34753;tcp;6;N/A;N/A
34755_17;34755;udp;17;N/A;N/A
34756_17;34756;udp;17;N/A;N/A
34756_6;34756;tcp;6;N/A;N/A
34757_17;34757;udp;17;N/A;N/A
34758_17;34758;udp;17;N/A;N/A
34760_6;34760;tcp;6;N/A;N/A
34761_17;34761;udp;17;N/A;N/A
34761_6;34761;tcp;6;N/A;N/A
34762_6;34762;tcp;6;N/A;N/A
34763_17;34763;udp;17;N/A;N/A
34763_6;34763;tcp;6;N/A;N/A
34764_17;34764;udp;17;N/A;N/A
34765_17;34765;udp;17;N/A;N/A
34767_17;34767;udp;17;N/A;N/A
34767_6;34767;tcp;6;N/A;N/A
34769_17;34769;udp;17;N/A;N/A
34770_6;34770;tcp;6;N/A;N/A
34771_17;34771;udp;17;N/A;N/A
34771_6;34771;tcp;6;N/A;N/A
34773_17;34773;udp;17;N/A;N/A
34773_6;34773;tcp;6;N/A;N/A
34774_17;34774;udp;17;N/A;N/A
34774_6;34774;tcp;6;N/A;N/A
34775_17;34775;udp;17;N/A;N/A
34775_6;34775;tcp;6;N/A;N/A
34777_17;34777;udp;17;N/A;N/A
34778_17;34778;udp;17;N/A;N/A
34779_17;34779;udp;17;N/A;N/A
3478_17;3478;udp;17;N/A;N/A
3478_6;3478;tcp;6;N/A;N/A
34782_17;34782;udp;17;N/A;N/A
34782_6;34782;tcp;6;N/A;N/A
34783_17;34783;udp;17;N/A;N/A
34784_17;34784;udp;17;N/A;N/A
34785_17;34785;udp;17;N/A;N/A
34785_6;34785;tcp;6;N/A;N/A
34786_17;34786;udp;17;N/A;N/A
34786_6;34786;tcp;6;N/A;N/A
34787_17;34787;udp;17;N/A;N/A
34787_6;34787;tcp;6;N/A;N/A
34788_6;34788;tcp;6;N/A;N/A
34790_17;34790;udp;17;N/A;N/A
34790_6;34790;tcp;6;N/A;N/A
34791_17;34791;udp;17;N/A;N/A
34791_6;34791;tcp;6;N/A;N/A
34793_17;34793;udp;17;N/A;N/A
34794_17;34794;udp;17;N/A;N/A
34798_17;34798;udp;17;N/A;N/A
34800_17;34800;udp;17;N/A;N/A
34800_6;34800;tcp;6;N/A;N/A
34802_17;34802;udp;17;N/A;N/A
34806_17;34806;udp;17;N/A;N/A
34806_6;34806;tcp;6;N/A;N/A
34807_17;34807;udp;17;N/A;N/A
34807_6;34807;tcp;6;N/A;N/A
34808_17;34808;udp;17;N/A;N/A
34809_6;34809;tcp;6;N/A;N/A
34811_17;34811;udp;17;N/A;N/A
34812_17;34812;udp;17;N/A;N/A
34813_17;34813;udp;17;N/A;N/A
34813_6;34813;tcp;6;N/A;N/A
34817_17;34817;udp;17;N/A;N/A
34817_6;34817;tcp;6;N/A;N/A
34818_17;34818;udp;17;N/A;N/A
34820_17;34820;udp;17;N/A;N/A
34820_6;34820;tcp;6;N/A;N/A
34821_17;34821;udp;17;N/A;N/A
34822_17;34822;udp;17;N/A;N/A
34822_6;34822;tcp;6;N/A;N/A
34824_17;34824;udp;17;N/A;N/A
34826_17;34826;udp;17;N/A;N/A
34827_17;34827;udp;17;N/A;N/A
34827_6;34827;tcp;6;N/A;N/A
34828_17;34828;udp;17;N/A;N/A
34828_6;34828;tcp;6;N/A;N/A
34832_6;34832;tcp;6;N/A;N/A
34833_17;34833;udp;17;N/A;N/A
34839_17;34839;udp;17;N/A;N/A
34840_17;34840;udp;17;N/A;N/A
34841_17;34841;udp;17;N/A;N/A
34842_17;34842;udp;17;N/A;N/A
34843_17;34843;udp;17;N/A;N/A
34845_17;34845;udp;17;N/A;N/A
34846_17;34846;udp;17;N/A;N/A
34846_6;34846;tcp;6;N/A;N/A
34847_6;34847;tcp;6;N/A;N/A
34849_6;34849;tcp;6;N/A;N/A
34850_17;34850;udp;17;N/A;N/A
34850_6;34850;tcp;6;N/A;N/A
34851_17;34851;udp;17;N/A;N/A
34852_17;34852;udp;17;N/A;N/A
34852_6;34852;tcp;6;N/A;N/A
34853_6;34853;tcp;6;N/A;N/A
34855_17;34855;udp;17;N/A;N/A
34856_17;34856;udp;17;N/A;N/A
34856_6;34856;tcp;6;N/A;N/A
34857_17;34857;udp;17;N/A;N/A
34858_17;34858;udp;17;N/A;N/A
34858_6;34858;tcp;6;N/A;N/A
34859_17;34859;udp;17;N/A;N/A
34859_6;34859;tcp;6;N/A;N/A
34861_17;34861;udp;17;N/A;N/A
34862_6;34862;tcp;6;N/A;N/A
34864_17;34864;udp;17;N/A;N/A
34864_6;34864;tcp;6;N/A;N/A
34865_17;34865;udp;17;N/A;N/A
34865_6;34865;tcp;6;N/A;N/A
34866_17;34866;udp;17;N/A;N/A
34867_17;34867;udp;17;N/A;N/A
34868_17;34868;udp;17;N/A;N/A
34868_6;34868;tcp;6;N/A;N/A
34869_17;34869;udp;17;N/A;N/A
34871_17;34871;udp;17;N/A;N/A
34871_6;34871;tcp;6;N/A;N/A
34882_17;34882;udp;17;N/A;N/A
34883_6;34883;tcp;6;N/A;N/A
34885_17;34885;udp;17;N/A;N/A
34885_6;34885;tcp;6;N/A;N/A
34886_17;34886;udp;17;N/A;N/A
34886_6;34886;tcp;6;N/A;N/A
34888_17;34888;udp;17;N/A;N/A
34888_6;34888;tcp;6;N/A;N/A
34889_17;34889;udp;17;N/A;N/A
34890_17;34890;udp;17;N/A;N/A
34890_6;34890;tcp;6;N/A;N/A
34893_17;34893;udp;17;N/A;N/A
34893_6;34893;tcp;6;N/A;N/A
34895_17;34895;udp;17;N/A;N/A
34895_6;34895;tcp;6;N/A;N/A
34897_6;34897;tcp;6;N/A;N/A
34906_17;34906;udp;17;N/A;N/A
34906_6;34906;tcp;6;N/A;N/A
34907_17;34907;udp;17;N/A;N/A
34908_17;34908;udp;17;N/A;N/A
34909_17;34909;udp;17;N/A;N/A
34910_17;34910;udp;17;N/A;N/A
34910_6;34910;tcp;6;N/A;N/A
34913_17;34913;udp;17;N/A;N/A
34914_17;34914;udp;17;N/A;N/A
34914_6;34914;tcp;6;N/A;N/A
34915_17;34915;udp;17;N/A;N/A
34915_6;34915;tcp;6;N/A;N/A
34916_17;34916;udp;17;N/A;N/A
34916_6;34916;tcp;6;N/A;N/A
34917_17;34917;udp;17;N/A;N/A
34919_17;34919;udp;17;N/A;N/A
34920_17;34920;udp;17;N/A;N/A
34920_6;34920;tcp;6;N/A;N/A
34923_17;34923;udp;17;N/A;N/A
34924_17;34924;udp;17;N/A;N/A
34924_6;34924;tcp;6;N/A;N/A
34926_17;34926;udp;17;N/A;N/A
34926_6;34926;tcp;6;N/A;N/A
34928_17;34928;udp;17;N/A;N/A
34931_17;34931;udp;17;N/A;N/A
34934_17;34934;udp;17;N/A;N/A
34935_17;34935;udp;17;N/A;N/A
34936_17;34936;udp;17;N/A;N/A
34936_6;34936;tcp;6;N/A;N/A
34938_6;34938;tcp;6;N/A;N/A
34939_17;34939;udp;17;N/A;N/A
34939_6;34939;tcp;6;N/A;N/A
